name,Gender,Re-Electionist,Year Elected
"SALARDA, VIC PAUL",male,no,
"SENIT, ELENITO",male,no,
"BARCELONA, NOEL",male,no,
"CORSAME, JUN",male,no,
"YAP, TATA",male,no,
"YAP, YOYONG",male,no,
"FALGUI, ROMMEL TOMAS",male,no,
"MARTINEZ, RAUL",male,no,
"LOPEZ, ANICETO JR.",male,no,
"CATIMBANG, PEPITO",male,no,
"PERRETT, ELSIE LUCILLE",female,no,
"REGANIT, BRYAN",male,no,
"CEPE, ANDY",male,no,
"FANAGEL, KERNIE",male,no,
"SINGCOY, ALFONSO SR.",male,no,
"AMPON, WIL",male,no,
"CONSTANTINO, TESSA",female,no,
"JAGUROS, RICKRICK",male,no,
"SALE, SAMMY",male,no,
"CASIL, GRACE",female,no,
"ROSAL, ANTONIO",male,no,
"TIU, HOSPICIO III",male,no,
"ADOBO, GEMMA",female,no,
"MASBANG, EDWIN",male,no,
"MADERAZO, LALOY",male,yes,2013
"PANTAS, EDWIN",male,no,
"REVELDEZ, LORENZO JR.",male,no,
"DURANGO, JUN",male,no,
"ESPINA, RUDY",male,no,
"MACOROL, ELDING",male,no,
"ESPINA, GERARD",male,no,
"LIMPIADO, AIM",male,no,
"DE ASIS, VINCENT PASCAL",male,no,
"HABAÑA, ROY",male,no,
"REYES, EUGENE",male,no,
"ATIENZA, NONOYVITO",male,no,
"CORPUZ, RUBEN",male,no,
"GAITAN, JUAN",male,no,
"GALILA, EMMANUEL",male,no,
"BRIZAL, CARLIT",male,no,
"GAJO, NINFA",female,no,
"GANANCIAL, ELMER BOS",male,no,
"QUEZON-SOBREVEGA, ATTY",female,no,
"ZAMBARRANO, EDWARD",male,no,
"GANGE, PUTONG",male,no,
"TANALEON, JOEL",male,no,
"VILCHES, LUBEN",male,no,
"ECHAGUE, GREGORIO III",male,no,
"MAGBANUA, RICHRISTOPHER",male,no,
"ORTEGA, JAIME",male,no,
"BACUEL, PERLA",female,no,
"QUINCELA, CATALINO JR.",male,no,
"QUINCELA, DEXTER",male,no,
"RAGUIN, MARY JANE",female,no,
"BERONIO, NOEL",male,no,
"CUDILLA, SUE",female,no,
"ASTAMI, AL-HAZNI",male,no,
"HAMJA, PISTOH",male,no,
"MAING, PARSON",male,no,
"MAMURA, RONIE",male,no,
"TULALI, REGIDOR",male,no,
"ABDURAJIK, MULSININ",male,no,
"IBBA, ABRAHAM",male,no,
"FELICIANO, JEAN",female,no,
"LEONCIO, BOYET",male,no,
"CERVANTES, ELIZABETH",female,no,
"CRUZ, TOMMY",male,no,
"PANLILIO, JOSE MARQUEZ",male,no,
"LANOY, LOURDES",female,no,
"TAPALLA, JOE",male,no,
"BARRACOSO, JERRY",male,no,
"PE, JIM GERALD",male,no,
"REYES, MARIO JOEL",male,no,
"DE VERA, MA. VIRGINIA",female,no,
"MARASIGAN, JUN",male,no,
"ONG, ANDREW",male,no,
"PABLICO, MHEDS",male,no,
"RODRIGUEZ, MANUEL",male,no,
"ALVAREZ, ANTONIO",male,no,
"ROSENTO, NIEVES",female,no,
"BITO-ONON, EUGENIO JR.",male,yes,2010
"DEL MUNDO, CHOY",male,no,
"JACA, RODRIGO",male,no,
"CABIGUEN, BIENVENIDO",male,no,
"DEL PRADO, JESS",male,no,
"DELA TORRE, ROMMEL",male,no,
"DEMAALA, LUCENA",female,no,
"BAYRON, LUCILO",male,yes,2013
"HAGEDORN, EDWARD",male,yes,
"ALAM, MADZ",male,no,
"AYALA, JOY",female,no,
"CABALLES, RODELIO",male,no,
"CAPUTILLA, GENEL",male,no,
"GABUCO, JELLY",female,no,
"ARENDAIN, BIROY",male,no,
"BESAGA, JODGIE",male,no,
"DEGILLO, CLARA",female,no,
"MONTAÑO, NICOLAS SR.",male,no,
"NOBLEZA, ALRIE",male,no,
"ONG, NORMAN",male,yes,2013
"VICENTE, MIKE",male,no,
"CORRAL, MARIBEL",female,no,
"GELLIANG, SALVADOR",male,no,
"GOLIFARDO, ANDREW",male,no,
"SABANDO, MA. ELIZABETH",female,no,
"SABANDO, MARIA ANGELA",female,no,
"ALVAREZ, PIE",female,no,
"FOX, MICHELLE",female,no,
"ACOY, MARS",male,no,
"GOMEZ, ZENY",female,no,
"JAMILI, BENSON",male,no,
"SALVAME, ROMY",male,yes,2013
"LAPID, LITO LAPID",male,no,
"PAMINTUAN, EDGARDO",male,yes,2013
"VEGA, VICKY VEGA",female,no,
"MACAPAGAL, JAIME",male,no,
"NUCOM, PETER",male,no,
"TOLENTINO, BAY",male,no,
"ALEJANDRINO, BON",male,no,
"ESPINO, LUIS",male,yes,
"DUNGCA, BUDDY",male,yes,2007
"HIZON, JOMAR",male,yes,2013
"BAYLON, BOY",male,no,
"BAYLON, DANILO",male,no,
